phrase	count	section
רבה משה	158	מימר מרקה I:12a
נביה רבה	137	מימר מרקה I:12a
נביה רבה משה	128	מימר מרקה I:12a
כמה דאמר	40	מימר מרקה I:39
הכ משה	35	מימר מרקה II:40
עד לעלמ	34	מימר מרקה II:1b
לא הוה	31	מימר מרקה I:17
משה ומנ	30	מימר מרקה II:40
הכ משה ומנ	30	מימר מרקה II:40
אלינ מליה	29	מימר מרקה I:12a
ומנ מדמי	29	מימר מרקה II:40
ואמר יה	28	מימר מרקה I:56
משה ומנ מדמי	28	מימר מרקה II:40
ולא יקומ	27	מימר מרקה I:77
ארע מצרימ	26	מימר מרקה I:47
וכנ אמר	26	מימר מרקה II:40
האנ הכ	25	מימר מרקה II:40
האנ הכ משה	25	מימר מרקה II:40
אני אני	25	מימר מרקה IV:103
עד מותר	24	מימר מרקה I:70
אמר לה	24	מימר מרקה I:12a
על כנ	24	מימר מרקה I:26
אלא אחד	24	מימר מרקה I:55
עד אמת	24	מימר מרקה IV:63
מדמי למשה	23	מימר מרקה II:40
אני הוא	23	מימר מרקה IV:103
אני אני הוא	23	מימר מרקה IV:103
אלה אלא	22	מימר מרקה I:55
אלה אלא אחד	22	מימר מרקה I:55
ומנ מדמי למשה	22	מימר מרקה II:40
אמר לונ	21	מימר מרקה I:70
הנ לא	21	מימר מרקה I:68
לית אלה	21	מימר מרקה I:55
לית אלה אלא	21	מימר מרקה I:55
כל אלינ	20	מימר מרקה I:75
אל משה	20	מימר מרקה I:59
משה נביה	20	מימר מרקה I:59
על קשטה	20	מימר מרקה III:41
כל אהנ	19	מימר מרקה I:20
כי גדול	19	מימר מרקה II:8
מכל האלהימ	19	מימר מרקה II:8
מכנ אמר	19	מימר מרקה II:38
לא יהי	19	מימר מרקה III:71
לא יקרב	19	מימר מרקה III:68
ית עמה	18	מימר מרקה I:70
לית בה	18	מימר מרקה I:70
בכל ארע	18	מימר מרקה I:40
מנ אלינ	18	מימר מרקה I:53
יקומ לעלמ	18	מימר מרקה I:77
כל קהלה	18	מימר מרקה I:7
יה אל	17	מימר מרקה I:13
ולא יקומ לעלמ	17	מימר מרקה I:77
גדול יהוה	17	מימר מרקה II:8
יהוה מכל	17	מימר מרקה II:8
כי גדול יהוה	17	מימר מרקה II:8
גדול יהוה מכל	17	מימר מרקה II:8
יהוה מכל האלהימ	17	מימר מרקה II:8
יהוה ימלכ	17	מימר מרקה II:50
ימלכ עולמ	17	מימר מרקה II:50
הדה מלתה	17	מימר מרקה III:59
מנ מרה	16	מימר מרקה I:39
הכ מה	16	מימר מרקה I:45
מנ עבד	16	מימר מרקה I:22
כותה ולא	16	מימר מרקה I:55
ריש ירחיה	16	מימר מרקה I:55
יומ נקמ	16	מימר מרקה II:50
יהוה ימלכ עולמ	16	מימר מרקה II:50
אלה רחמנ	16	מימר מרקה IV:84
ואמר לה	15	מימר מרקה I:35
נתנ אפרשו	15	מימר מרקה I:26
מרה דעלמה	15	מימר מרקה I:21
משה ית	15	מימר מרקה I:55
בני ישראל	15	מימר מרקה I:67
כל הדה	15	מימר מרקה I:32
אהיה אשר	15	מימר מרקה I:11
לא קמ	15	מימר מרקה II:7
מנ אהנ	15	מימר מרקה III:70
משה ואהרנ	14	מימר מרקה I:70
הכ אמר	14	מימר מרקה I:12a
ברבו רבה	14	מימר מרקה I:59
ירחה אדנ	14	מימר מרקה I:55
אדנ לכונ	14	מימר מרקה I:55
לכונ ריש	14	מימר מרקה I:55
ירחה אדנ לכונ	14	מימר מרקה I:55
אדנ לכונ ריש	14	מימר מרקה I:55
לכונ ריש ירחיה	14	מימר מרקה I:55
אשר אהיה	14	מימר מרקה I:11
אהיה אשר אהיה	14	מימר מרקה I:11
ונימר לית	14	מימר מרקה II:28
ונימר לית אלה	14	מימר מרקה II:28
בכל זבנ	14	מימר מרקה II:49
אמר אלה	14	מימר מרקה III:9
ית עמי	13	מימר מרקה I:47
ואמר יה אל	13	מימר מרקה I:59
יה אל משה	13	מימר מרקה I:59
ולא יכל	13	מימר מרקה I:19
קהל ישראל	13	מימר מרקה I:22
הכ מד	13	מימר מרקה I:78
על ימה	13	מימר מרקה I:77
משה אמר	13	מימר מרקה I:48
אה נביה	13	מימר מרקה II:1b
ונסיד ונימר	13	מימר מרקה II:28
כל ישראל	13	מימר מרקה II:51
עולמ ועוד	13	מימר מרקה II:50
ימלכ עולמ ועוד	13	מימר מרקה II:50
אה קהלה	13	מימר מרקה III:39
מד לא	13	מימר מרקה III:59
הלא חכמת	12	מימר מרקה I:6
חכמת ית	12	מימר מרקה I:6
ית מחיה	12	מימר מרקה I:6
הלא חכמת ית	12	מימר מרקה I:6
חכמת ית מחיה	12	מימר מרקה I:6
ולא צבה	12	מימר מרקה I:56
בכל ארע מצרימ	12	מימר מרקה I:59
לזימונ אחוכ	12	מימר מרקה I:26
ימ סופ	12	מימר מרקה I:55
והנ הוה	12	מימר מרקה I:38
רב הוא	12	מימר מרקה I:2
כותה ולא יקומ	12	מימר מרקה II:7
מד בה	12	מימר מרקה II:40
ונסיד ונימר לית	12	מימר מרקה II:28
כוננו ידכ	12	מימר מרקה II:49
כל עת	12	מימר מרקה II:50
על מד	12	מימר מרקה III:6
בכל עת	12	מימר מרקה III:6
בה כל	12	מימר מרקה III:39
מד לה	12	מימר מרקה III:39
הוה תמנ	12	מימר מרקה III:15
כל איקר	12	מימר מרקה III:11
אלהי נכר	12	מימר מרקה IV:108
מנ ארבעה	12	מימר מרקה IV:17
מונ דאלפ	11	מימר מרקה I:70
ולא יכלו	11	מימר מרקה I:56
ארע מצר	11	מימר מרקה I:75
סגי מכנ	11	מימר מרקה I:75
ובתר כנ	11	מימר מרקה I:26
דאמר לה	11	מימר מרקה I:19
מנה לא	11	מימר מרקה I:1
משה לא	11	מימר מרקה I:77
דרי עלמה	11	מימר מרקה I:14a
אהנ ממללה	11	מימר מרקה II:39
עד נהי	11	מימר מרקה II:40
יהוה כוננו	11	מימר מרקה II:49
יהוה כוננו ידכ	11	מימר מרקה II:49
עסרתי מליה	11	מימר מרקה II:46
לכל דריה	11	מימר מרקה III:56
הב בלכ	11	מימר מרקה III:50
מנ שומיה	11	מימר מרקה III:67a
אה אלה	11	מימר מרקה IV:84
אה אלה רחמנ	11	מימר מרקה IV:84
עשה גדלה	11	מימר מרקה IV:22
גדלה משפט	11	מימר מרקה IV:22
לה אה	10	מימר מרקה I:35
ומשה ואהרנ	10	מימר מרקה I:70
על פרעה	10	מימר מרקה I:56
ויהי לכ	10	מימר מרקה I:9
לכ דנ	10	מימר מרקה I:9
ויהי לכ דנ	10	מימר מרקה I:9
זל לזימונ	10	מימר מרקה I:26
זל לזימונ אחוכ	10	מימר מרקה I:26
כד שמע	10	מימר מרקה I:21
לה מנ	10	מימר מרקה I:55
אהנ רזה	10	מימר מרקה I:73
לה מרה	10	מימר מרקה I:20
מנ יתה	10	מימר מרקה I:20
משה אישה	10	מימר מרקה I:10a
ית אתתה	10	מימר מרקה I:23
יקרב לה	10	מימר מרקה I:7
קמ כותה	10	מימר מרקה II:7
קמ כותה ולא	10	מימר מרקה II:7
אמר נביה	10	מימר מרקה II:28
טוב מנ	10	מימר מרקה II:50
ידכ יהוה	10	מימר מרקה II:50
כד הוה	10	מימר מרקה III:39
עובד ביש	10	מימר מרקה III:68
רחמנה דרחמיו	10	מימר מרקה III:14
לגו עלמה	10	מימר מרקה III:1a
עשה גדלה משפט	10	מימר מרקה IV:22
משה ברה	10	מימר מרקה V:30b
ברה דעמרמ	10	מימר מרקה V:30b
לכ אה	9	מימר מרקה I:35
יהוה אל	9	מימר מרקה I:13
ביני כל	9	מימר מרקה I:70
הכ דאמר	9	מימר מרקה I:47
לית לאוי	9	מימר מרקה I:6
הכ הו	9	מימר מרקה I:12a
נב רבה	9	מימר מרקה I:75
נב רבה משה	9	מימר מרקה I:75
אמ לא	9	מימר מרקה I:40
בתר כנ	9	מימר מרקה I:53
מנ אשתה	9	מימר מרקה I:9
לא ידע	9	מימר מרקה I:19
רב וחיול	9	מימר מרקה I:19
פרעה ועל	9	מימר מרקה I:55
לבר מנה	9	מימר מרקה I:1
אלה על	9	מימר מרקה I:16a
על אהנ	9	מימר מרקה I:73
משה עלל	9	מימר מרקה I:77
