phrase	count	pmi	parts_gloss	ref
אהיה אשר	438	6.25	קריאת פנייה, אהה · דברים	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אשר אהיה	435	6.24	דברים · קריאת פנייה, אהה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אהיה אשר אהיה	425	14.22	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אל רחומ	196	6.26	אלוהות, אלהים · רחום, חנון וחמלן	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
מאה שנה	176	9.22	מאה (100) · שנה	פיוט #73 — צלות שבת צמות הפסח
יהוה אל	174	3.0	יהוה, שם האלהים · אלוהות, אלהים	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
תנימ יומה	157	9.04	גודל, שיעור גדול · היום, כיום	פיוט #8 — אתי בשלם
אלא אחד	149	7.04	מילית קישור: אם לא, אל · אחד	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
אמנ אהיה	149	6.38	עמידה, וקיום, התמדה, א · קריאת פנייה, אהה	פיוט #58 — מרי אטרנון בלילה ואיממה
אמנ אהיה אשר	145	13.66	עמידה, וקיום, התמדה, א · קריאת פנייה, אהה · דברים	פיוט #58 — מרי אטרנון בלילה ואיממה
אמנ אהיה אשר אהיה	144	21.66	עמידה, וקיום, התמדה, א · קריאת פנייה, אהה · דברים · קריאת פנייה, אהה	פיוט #58 — מרי אטרנון בלילה ואיממה
רחומ וחנונ	141	9.62	רחום, חנון וחמלן · רחום, merciful	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
בנ עמרמ	141	8.25	בן (בפירוש בכתבי יד) · לבנות, להקים, לסדר	פיוט #81 — הצבעות • בכל יומם ולילה
מנ מימר	139	5.01	דברים · משה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אל רחומ וחנונ	115	16.09	אלוהות, אלהים · רחום, חנון וחמלן · רחום, merciful	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
בשמ יהוה	106	4.77	בשם · יהוה, שם האלהים	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
וכי בשמ	106	9.12	כי, ש־ (before object  · בשם	פיוט #66 — עבודה דעלמה תסתגד ותשתבח : וישתבח
יהוה אל רחומ	98	11.9	יהוה, שם האלהים · אלוהות, אלהים · רחום, חנון וחמלן	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אדני יהוה	94	5.38	אדון, lord · יהוה, שם האלהים	פיוט #44 — הסנדות בשבת הראש מן החדש
זה היומ	93	5.75	זה, this · יום	פיוט #78 — צלות שבת צמות הפסח
יומה מאה	90	8.14	היום, כיום · מאה (100)	פיוט #93 — צלות שבת צמות הפסח
יהוה אלהיכ	87	6.03	יהוה, שם האלהים · אלוהות, God	פיוט #2 — צלות יהושע בן נון
בני ישראל	87	6.62	בני · ישראל, שמו של יעקב	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
כי בשמ	85	5.97	כי, ש־ (before object  · בשם	פיוט #74 — לית בבל יוטיה : וטרקה אתהו עבורן * ישתבח
משה בנ	83	4.83	משה (שם פרטי) · בן (בפירוש בכתבי יד)	פיוט #82 — צלות שבת צמות הפסח
יומה מאה שנה	83	17.47	היום, כיום · מאה (100) · שנה	פיוט #93 — צלות שבת צמות הפסח
שלמ לכ	82	6.55	שלום · אותך	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
קדש כל	82	4.26	קידוש, הקדשה · כל, כולו	פיוט #82 — צלות שבת צמות הפסח
אל משה	80	2.78	אלוהות, אלהים · משה (שם פרטי)	פיוט #10 — ב מימריו ן
יהוה אלהינו	78	4.61	יהוה, שם האלהים · אלוהות, God	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
משה בנ עמרמ	74	14.87	משה (שם פרטי) · בן (בפירוש בכתבי יד) · לבנות, להקים, לסדר	פיוט #82 — צלות שבת צמות הפסח
מחרונ אפכ	70	11.1	חרון, זעם (wrath) · אף	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
אה מרנ	69	5.46	הנה · אדוננו	פיוט #2 — צלות יהושע בן נון
וכנ ישמר	69	9.43	כך, כן (ציון אופן) · שמירת מצוות האל, קיום 	פיוט #78 — צלות שבת צמות הפסח
מנ אנה	69	4.43	דברים · שמחת רבני עשו, אהליבמה	פיוט #108 — צלות לילת חדש הראישון רטשה
יהוה אל רחומ וחנונ	67	21.95	יהוה, שם האלהים · אלוהות, אלהים · רחום, חנון וחמלן · רחום, merciful	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אה ישראל	67	3.69	הנה · ישראל, שמו של יעקב	פיוט #26 — על מועדיה וראשי יר חיה
ותנימ יומה	65	9.05	גודל, שיעור גדול · היום, כיום	פיוט #112 — צלות לילת חדש הראישון רמשה
טור סיני	63	9.88	הר, mountain · סין (שם מקום)	פיוט #13 — צלות מרקה
אלהינו יהוה	61	4.26	אלוהות, God · יהוה, שם האלהים	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
עד לעלמ	61	6.14	עד, כמקום (as far as)  · לעולם, לנצח	פיוט #4 — אדיק עלינן מרן
יהוה על	61	1.08	יהוה, שם האלהים · על (מילת יחס)	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
בית אל	60	5.37	האות בית, אות ראשית של · אלוהות, אלהים	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)
שלומ יהוה	59	5.15	שם פרטי שלום · יהוה, שם האלהים	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
אלהי אברהמ	58	6.36	אלוהות, God · שם פרטי: אברהם	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
שבע שבתות	58	10.63	שבע (ויקשן אולד ית...  · ישיבה, שהייה בישיבה	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
שוב מחרונ	57	10.47	שבת שבתות, שבת למועדים · חרון, זעם (wrath)	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
רבותה לה	56	8.4	ריבוי, שפע, abundance · האות השתים עשרה באלף ב	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
ישמר חייכמ	56	10.39	שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען	פיוט #78 — צלות שבת צמות הפסח
על ידו	56	5.02	על (מילת יחס) · יד, אבר הגוף	פיוט #107 — חדש הזה לכם ראש חרשים
מנ אלה	55	1.59	דברים · אלוהות, God	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
הו האלהימ	55	6.76	מתחבר למלה שלפניו, כגו · אלוהים, אל	פיוט #14 — בלבה אלילו
יתהלל אלהימ	55	6.88	שבח, praise · אלוהים, אל	פיוט #28 — עורן כן על יום הכפור הקדוש על פינחס
ושמע ישראל	55	6.99	ושמע · ישראל, שמו של יעקב	פיוט #79 — צלות שבת צמות הפסח
מה טבו	54	7.44	מה · חסד, טובה, מעשה טוב	פיוט #77 — צלות שבת צמות הפסח
לעמכ ישראל	53	7.16	גוי, קיבוץ בני אדם · ישראל, שמו של יעקב	פיוט #87 — והוא קטף הברית
ומאה שנה	52	9.22	מאה (100) · שנה	פיוט #78 — צלות שבת צמות הפסח
יהוה הו	52	3.1	יהוה, שם האלהים · מתחבר למלה שלפניו, כגו	פיוט #85 — צלות שבת צמות הפסח
מי כמוכ	51	8.9	מילת שאלה לאדם: מי · כמוך	פיוט #2 — צלות יהושע בן נון
יהוה אלהימ	51	3.02	יהוה, שם האלהים · אלוהים, אל	פיוט #10 — ב מימריו ן
יד משה	51	5.05	יד, אבר הגוף · משה (שם פרטי)	פיוט #38 — עורן כן לונ עוד על יומי השבעות
ישתבח אלהימ	50	6.39	ברוך · אלוהים, אל	פיוט #2 — צלות יהושע בן נון
אתי בשלמ	50	9.37	ביאה, כניסה · בשלום	פיוט #8 — אתי בשלם
אלהימ את	50	4.26	אלוהים, אל · אתה (כינוי גוף שני זכר	פיוט #10 — ב מימריו ן
וכנ ישמר חייכמ	50	20.87	כך, כן (ציון אופן) · שמירת מצוות האל, קיום  · קיום, חיים, עשייה למען	פיוט #78 — צלות שבת צמות הפסח
תנימ יומה מאה	50	17.56	גודל, שיעור גדול · היום, כיום · מאה (100)	פיוט #93 — צלות שבת צמות הפסח
ברוכ אתה	48	7.41	ברוך · אישה, woman	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אדוננ משה	48	6.49	אדון, מושל, ראשי · משה (שם פרטי)	פיוט #49 — צלותן מנן אה רחמנה
הא טובי	48	8.33	הנה · אשרי, happy is	פיוט #63 — *עורן כן מן מימר מרקה : עליו הרצון אמן
אלהי אהרנ	48	6.59	אלוהות, God · אהרן (שם עצם: הכהן הגד	פיוט #81 — הצבעות • בכל יומם ולילה
יהוה עליו	47	3.23	יהוה, שם האלהים · עליו	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו
יהוה הו האלהימ	47	13.18	יהוה, שם האלהים · מתחבר למלה שלפניו, כגו · אלוהים, אל	פיוט #85 — צלות שבת צמות הפסח
תנימ יומה מאה שנה	47	26.92	גודל, שיעור גדול · היום, כיום · מאה (100) · שנה	פיוט #93 — צלות שבת צמות הפסח
רחמנ ורתאה	46	10.6	רחום · PON M	פיוט #2 — צלות יהושע בן נון
אנכי יהוה	46	5.42	כינוי המדבר, גוף ראשון · יהוה, שם האלהים	פיוט #2 — צלות יהושע בן נון
אה רחמנה	46	6.02	הנה · הרחמן	פיוט #2 — צלות יהושע בן נון
שוב מחרונ אפכ	46	21.75	שבת שבתות, שבת למועדים · חרון, זעם (wrath) · אף	פיוט #11 — והאזנת אל מצותיו ושמרת בל חקיו : רפא שמך
בזה היומ	46	7.15	להיבזות (פועל סביל) · יום	פיוט #85 — צלות שבת צמות הפסח
דמע כל	46	4.46	דמעת העין · כל, כולו	פיוט #86 — צלות שבת צמות הפסח
אהיה אל	45	2.41	קריאת פנייה, אהה · אלוהות, אלהים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
אשר אהיה אל	45	9.74	דברים · קריאת פנייה, אהה · אלוהות, אלהים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
משה הנבי	45	5.88	משה (שם פרטי) · נביא, prophet	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
כל ימי	45	5.44	כל, כולו · שבועה, oath	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אהיה אה	45	3.15	קריאת פנייה, אהה · הנה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
אהיה אשר אהיה אל	44	17.71	קריאת פנייה, אהה · דברים · קריאת פנייה, אהה · אלוהות, אלהים	פיוט #3 — אל אלהי האלהים (פיוט אלפביתי)
אלא אחר	44	6.74	מילית קישור: אם לא, אל · לאחר, סוף	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
הר סיני	44	9.02	הר - הר · סין (שם מקום)	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן
אלהימ אל	44	2.93	אלוהים, אל · אלוהות, אלהים	פיוט #10 — ב מימריו ן
אשר אהיה אה	44	10.44	דברים · קריאת פנייה, אהה · הנה	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך
