word	freq_piyut	freq_memar	memar_he_candidate	conf	source	context
דו	350	149		0	פיוט #1 — עמדתי קמיך (פתיחת הדפתר)	לפם דו כחי הסכין ונשישותי
דת	77	7	גדולות	0.312	פיוט #4 — אדיק עלינן מרן	אדיק עלינן מרן • לית לן לאהן ניפך אפינן • אלא לידך דת רחמן •
יא	63	1		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	אל אלהי האלהים * אל ארון האדונים * אל ארך אפים יא ל אני
רו	58	0		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	ומשמועה חיים יד ו קעים לעלם ישתבח * עד לעלם , רו קעיטה דקעם 'עם
יע	54	1		0	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך	מלך על כל מלכיה * עניתן ושמע 'בקלן יע רל א יבטל דברן רחמיך •
ולחטאותינו	46	0		0	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך	אלהינו * וסלחת לעונינו ולחטאותינו ונחלתנו • וסלח ל ן
רלא	40	0		0	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך	דיאנה קשיטה ״ רלא נסב אפים • לא טרף לבעו מן אלהותך • מרי אנן
שביע	40	0		0	פיוט #138 — וקדש : בחדש הראישון * בארבעה עשר יום לחרש	קדשך יהוה * על יד בן יוכבד : שלום יהוד , עליו * ועל בל שביע ומועד :
עתיד	4	32	עומד	0.787	פיוט #13 — צלות מרקה	דו חילה דקעם • על כריה דמשתוקה : דו עתיד כרז • אני אני הוא :
יכ	36	0		0	פיוט #14 — בלבה אלילו	שעיר בעי לה יכ י משקה לה קריב : שבקין הו עבד • למן דשבק חוביו :
אלקטף	36	0		0	פיוט #59 — אמנות העיבתות והמועדים	בית דראן ובית מרקה * יתמרו על יומי השבתות הקדושים * פי אלקטף • על , ס
תה	26	9	שבה	0.302	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	מרן אהיה אשר אהיה : תתהלל לעולם * נציבה ייה תשבח תה פריה סלקין
טי	33	0		0	פיוט #5 — אזל שלם יום שבתה	הבו לן מפתח בראשית • נקרי בה • ומד מתשקח קמאי • הבלן מסגדי מנה • כיינן משקחין תהו ובהו • כריה דמים • ואלהים אמנה • דחלץ מנה בריאן • מליו הוה משלח לגו טי תהו ובהו • ואנין מעזרין טעינן בוראין :
נביע	31	2		0	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	לך נביע מרן דבוקה דלחיציה • מנך נדחל עבורן דכל פליאתה • פני ב
עלטה	32	0		0	פיוט #13 — צלות מרקה	ארבעת רבעה עלטה • מיתבן בידך : חילך רבה סביל * כליף דלא
הסליחות	32	0		0	פיוט #670 — צלות מועד השמיני	הכפור * 'דבך ענני הסליחות תתפרש עלינו: שלם לך מועד ‏ הסכות *
כו	26	2	האלוהימ	0.712	פיוט #77 — צלות שבת צמות הפסח	תבוא בדן שבת הצמות • רבו שטח בכל הארצות : ואתעשה כו פצות • לעדת
גביר	27	0		0	פיוט #277 — צלות שבת מועד חג המצות	אלהי גביר כל העולם • וקדקד טינה ראדם : בעל התפלה והציאם • נבר יי
ראמר	26	0		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	'לגדלה נשבח • דו דברא בל עלמה וסדר בוראיה ישתבח * ראמר בטלה
יוטה	26	0		0	פיוט #12 — ושבת עד יהוה אלהיך ושמעת בקולו : *יתרומם שמך	וסגודיו מחענין • ותשבחתה מתמרן י טוביון סגוריה רשוו בך אה יוטה
אדכיר	18	7	זכרו	0.911	פיוט #593 — (ללא כותרת)	אדכיר לטב משה קטף
פתיח	23	1		0	פיוט #4 — אדיק עלינן מרן	כנותה [?] היא דעבדת • כל אהן לבטה רבה • תהי ארורה לגו כל אתר • פרי מעיה חסירין • ופרי ארעה משנתין • פמה דדינה פתיח עלינן • מבלע ינוקה עם סהבה :
יב	23	1		0	פיוט #15 — צלות עמרם , דרה רצון יהוה וסליחתו עליו אמן	טוב מן דמתקרב בך * אה דחיקה דקר יב : ווילה דמרתק מנך • אה
עליבון	24	0		0	פיוט #97 — צלות שבת צמות הפסח	לנפשו יקח ; לאוי עליבון עשותה * כמה היא מתעתקה ; ודטרו זה שבתה
דביק	23	0		0	פיוט #4 — אדיק עלינן מרן	ואלית רחמנה דבק ומנהר לרחמיו • בהלן נבכי קנומן • לית לן אפין למצבע דבק • חיב האן יצבע דבק • ולא דבוק דידבקנה • מה מצראי מחנה • צבע דביק ורתותה מסלקה מנה :
עקובאן	22	1		0	פיוט #27 — על חדש השביעי	ביר אלה ארבעה עקובאן רברבאן אשבתה דכרנה אשמעה וזימון קרש
הנרול	23	0		0	פיוט #76 — לעבדת אהל מועד ־ ראלהים קדשה	הכהן הנרול יחשבה י ועל ישראל יסובבה : ועל כל אחד יריבה * והם יתנו
אסתדר	23	0		0	פיוט #77 — צלות שבת צמות הפסח	ותעשו זאת חקתת • מאה שנה בשלמותה : מן אסתדר מן עדתה * בזאת
טן	22	0		0	פיוט #13 — צלות מרקה	הבו תשבחתה * לסן דאלוף משתבח : דבעובדיו • טן ישבחנה :
מק	20	1		0	פיוט #9 — מן מימר הבהנים והזקנים רצון יהוה עליהם אמן	מתחת אין .עוד מלבדו מק בי ; ידיך עמדתי ואתפניתי בפני אל המקום ■ין
תן	21	0		0	פיוט #13 — צלות מרקה	טובי נפשאתן • למן אנין סנרן : טב לנו יא תן , * סבלןז אימתך :
בזרוז	9	12	בחיפזונ	0.367	פיוט #14 — בלבה אלילו	לבוראיו זעק • וענותה בזרוז : לקלומה הורי • מן עבד עובדיו :
סליחן	20	1		0	פיוט #18 — ז צלות כהנה רבה פינחס רצון יהוה עליו	פי כשם יהוה נדרש י סליחן בבל פעם : כי ירק יהוה עמו י ועל עבריו
וי	20	1		0	פיוט #59 — אמנות העיבתות והמועדים	וירצו ברקים ולפידים ולבשו ההרים עבים מרי ערפל ותנוע הארץ וי ח רדו
