total_occurrences	family_key	n_forms	forms	first_source
14	גלג	4	מגלג · גלגיו · גלג · גלגי	מימר מרקה I:75
12	זדכ	4	מזדכי · אזדכה · הזדכי · אזדכי	מימר מרקה III:59
7	תגלג	3	יתגלג · ויתגלג · מתגלג	מימר מרקה III:12
7	וא	1	וא	מימר מרקה I:26
6	שתנק	5	משתנק · דישתנק · וישתנקו · ואשתנק · ישתנק	מימר מרקה I:47
6	צטמת	5	אצטמתו · ואצטמתו · אצטמת · צטמתו · דאצטמתו	מימר מרקה I:30
6	טעל	4	מטעיאל · מטעיל · טיעאלו · טיעלו	מימר מרקה I:70
5	תלפננ	4	אתילפנן · ותלפונון · דתלפנון · ותלפנון	מימר מרקה III:76
5	תבנת	1	תבנית	תורה ארמית (פסוק 4925)
5	סתקפ	3	אסתקף · הסתקף · והסתקף	מימר מרקה I:43
5	נזע	2	ונזע · נזע	מימר מרקה II:28
5	זדג	4	הזדוגו · מזדוג · אזדוגו · הזדוג	מימר מרקה IV:67
4	תתלפ	1	תתילף	מימר מרקה III:6
4	רגרז	2	הרגריז · בהרגריז	מימר מרקה I:72
4	פקדננ	2	דפקדנן · ופקדנן	תורה ארמית (פסוק 4838)
4	עשכ	1	עשך	מימר מרקה IV:52
4	מללכנ	2	ממלליכון · במללכון	תורה ארמית (פסוק 4831)
4	מטט	1	מטט	מימר מרקה I:33
4	וה	1	וה	מימר מרקה I:40
4	גענ	1	וגען	מימר מרקה I:75
4	גבתנ	2	הגיבתני · ואגיבתון	מימר מרקה I:22
3	תנטרנ	2	ותנטרון · והתנטרון	תורה ארמית (פסוק 4915)
3	תזדעק	2	ותזדעק · תזדעק	מימר מרקה III:57
3	שתפל	1	ישתפל	מימר מרקה I:26
3	רגזת	2	לארגזותה · דארגזת	תורה ארמית (פסוק 4934)
3	רגב	1	ארגב	תורה ארמית (פסוק 4884)
3	קשטת	2	קשיטות · וקשיטות	מימר מרקה IV:56
3	קלס	1	מקלס	מימר מרקה I:75
3	לקדמנ	1	מלקדמין	תורה ארמית (פסוק 4853)
3	כבשננ	2	וכבשנן · דכבשנן	תורה ארמית (פסוק 4877)
3	טטע	1	טטע	מימר מרקה I:16a
3	חרמננ	2	וחרמנן · חרמנן	תורה ארמית (פסוק 4877)
3	חצצר	1	חציצריה	מימר מרקה V:7
3	זקפנ	1	זקיפין	מימר מרקה I:35
3	זעפנ	1	זעיפין	מימר מרקה I:53
3	וו	1	וו	מימר מרקה II:28
3	גלגנ	2	גלגין · גליגאן	מימר מרקה VI:21
2	תשתפל	1	תשתפל	מימר מרקה I:13a
2	תשתמע	1	תשתמע	מימר מרקה II:39
2	תלחט	1	תלחט	מימר מרקה III:8
2	תדש	1	תדאש	מימר מרקה I:53
2	שתעת	1	אשתעתי	מימר מרקה I:55
2	שתנקת	1	ואשתנקת	מימר מרקה I:56
2	שתמעת	1	השתמעת	מימר מרקה IV:14
2	שתל	2	השתאלו · משתאל	מימר מרקה III:26
2	שרשנ	1	שרשין	מימר מרקה I:55
2	שעתמ	1	שעתם	מימר מרקה II:8
2	שמנמ	2	שמנים · ושמנים	מימר מרקה II:2
2	שלבק	1	משלביק	מימר מרקה I:56
2	שדת	1	אשדות	תורה ארמית (פסוק 4897)
2	שבטבנ	2	שבטיבון · לשבטיבון	תורה ארמית (פסוק 4812)
2	רכל	2	רכיל · רכילי	מימר מרקה IV:22
2	רגס	2	ורגוסה · ורגוס	מימר מרקה III:64
2	קלסנ	1	מקלסין	מימר מרקה I:75
2	צפרדע	1	צפרדע	מימר מרקה II:8
2	צטנק	2	ואצטנק · אצטנק	מימר מרקה I:77
2	ערסתכ	1	ערסהאתך	מימר מרקה I:50
2	סתרנ	1	סתירין	מימר מרקה I:53
2	סתדרנ	1	מסתדרין	מימר מרקה V:8
2	סתבלת	1	אסתבלת	מימר מרקה I:11a
2	סלקתנ	2	וסלקתון · סלקתון	תורה ארמית (פסוק 4840)
2	סבבנ	1	יסובבנהו	מימר מרקה IV:80
2	סבב	1	סוביב	מימר מרקה II:8
2	נתלפ	1	נתילף	מימר מרקה III:74
2	נצרתכ	2	באנצירותך · דאנצירותך	מימר מרקה V:9
2	נצרת	2	אנצירות · ואנצירות	מימר מרקה III:39
2	נסתכל	1	נסתכל	מימר מרקה I:11a
2	נטנ	1	וינטון	מימר מרקה I:50
2	נטלננ	1	ונטלנן	תורה ארמית (פסוק 4816)
2	נבע	1	נביע	מימר מרקה IV:67
2	משכנכנ	2	במשכניכון · למשכניכון	תורה ארמית (פסוק 4824)
2	מרדנ	1	ממרדין	תורה ארמית (פסוק 5066)
2	מגדש	1	ומגדישה	מימר מרקה I:70
2	חנתנ	1	חוניתון	מימר מרקה I:4
2	חבשנ	1	חבישין	מימר מרקה I:59
2	זזענ	2	מזזעהן · מזזעין	מימר מרקה I:20
2	זדרעת	1	דאזדרעת	מימר מרקה I:70
2	זדרמ	1	הזדרם	מימר מרקה IV:15
