book,chapter,verse,sort_pos,lemma,variant,marks,reading,anchor,needs_review
DEU,1,1,1,וחצרות,וחצירות,,וחצרות] וחצירות,lemma~num,1
DEU,1,2,1,קדש,קדיש,,קדש] קדיש,lemma~num,1
DEU,1,3,1,בעשתי,בעשתה,,בעשתי] בעשתה,lemma~num,1
DEU,1,4,1,הכתו,הכותו,,הכתו] הכותו,lemma~num,1
DEU,1,4,2,סיחון,סחיון,,סיחון] סחיון,lemma+num,1
DEU,1,5,1,באר,באיר,,באר] באיר,lemma-ambig,1
DEU,1,5,2,הואל,הואיל,,הואל] הואיל,lemma+num,1
DEU,1,7,1,ובחוף,ובעוף,,ובחוף] ובעוף,lemma~num,1
DEU,1,10,1,אחר,חד,,אחר] חד,lemma~num,1
DEU,1,11,1,מחורב,מחוריב,,מחורב] מחוריב,lemma~num,1
DEU,1,11,2,באדרעי,באדריע,,באדרעי] באדריע,lemma~num,1
DEU,1,11,3,שכניו,שביגיו,,שכניו] שביגיו,lemma~num,1
DEU,1,11,4,אבותיכם,עדו,,אבותיכם] עדו,lemma~num,1
DEU,1,11,5,באו,ובאו,,באו] ובאו,lemma+num,1
DEU,1,12,1,אבתיכם,אבותיכם,,אבתיכם] אבותיכם,lemma~num,1
DEU,1,13,1,וריבכם,אק,,וריבכם] אק,lemma~num,1
DEU,1,13,2,איכה,ה,,איכה] ה,lemma~num,1
DEU,1,19,1,ונבא,ונבוא,,ונבא] ונבוא,lemma~num,1
DEU,1,21,1,אבתיך,אבותיך,,אבתיך] אבותיך,lemma~num,1
DEU,1,22,1,נשלחה,ה,,נשלחה] ה,lemma~num,1
DEU,1,25,1,ויאמרו,,,ויאמרו] ,lemma~num,1
DEU,1,25,2,וישבו,וישיבו,,וישבו] וישיבו,lemma~num,1
DEU,1,25,3,ויורדו,ויורידו,,ויורדו] ויורידו,lemma~num,1
DEU,1,27,1,הוציאנו,הוצאינו,,הוציאנו] הוצאינו,lemma~num,1
DEU,1,28,1,ובצרות,ובצירות,,ובצרות] ובצירות,lemma~num,1
DEU,1,31,1,ובמדבר,במדבר,,ובמדבר] במדבר,lemma~num,1
DEU,1,32,1,ובדבר,והכדבר,,ובדבר] והכדבר,lemma~num,1
DEU,1,33,1,לחנ,להחנותכם,,לחנ] להחנותכם,lemma~num,1
DEU,1,33,2,לתור,אעו,,לתור] אעו,lemma~num,1
DEU,1,33,3,להראתכם,להראותכם,,להראתכם] להראותכם,lemma~num,1
DEU,1,35,1,לאבתיכם,לאבותיכם,,לאבתיכם] לאבותיכם,lemma~num,1
DEU,1,35,2,הרע,הרעה,,הרע] הרעה,lemma~num,1
DEU,2,6,1,תשברו,תשבירו,,תשברו] תשבירו,lemma+num,1
DEU,2,7,1,ואשלחה,ה,,ואשלחה] ה,lemma~num,1
DEU,2,8,1,נסור,אסור,,נסור] אסור,lemma~num,1
DEU,2,8,2,ומעציון,י,,ומעציון] י,lemma~num,1
